会社名,組織体系区分,組織体系パターン,,組織体系改定日付,階層,,上位部門,,上位部門階層番号,部門コード,部門適用日付,部門終了日付　,部門名,部門名（略）,部門名（カナ）,部門名（英字）,代表計上部門,,計上区分,部門採番コード,部門所在地,,ＴＥＬ,ＦＡＸ,ＴＥＬ（国際表記）,ＦＡＸ（国際表記）,編集状態,移管先部門,,郵便番号,住所１,住所２,ＺＩＰコード,住所１（英字）,住所２（英字）,部門表示順序,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,1 ,全社,,,,0000000000,1900/1/2,9999/12/31,全社,全社,ｾﾞﾝｼｬ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001000000000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,2 ,本社／支社,0000000000,全社,1 ,01,1900/1/2,9999/12/31,本社,本社,ﾎﾝｼｬ,,,,その他,,,,,,,,既存,,,,,,,,,001001000000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,01,本社,2 ,0110,1900/1/2,9999/12/31,本社,本社,ﾎﾝｼｬ,,,,その他,,,,,,,,既存,,,,,,,,,001001001000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0110,本社,3 ,011010,1900/1/2,9999/12/31,本社,本社,ﾎﾝｼｬ,,,,その他,,,,03-5433-5513,03-5433-5512/5527,,,既存,,,,,,,,,001001001001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,011010,本社,4 ,01101010,1900/1/2,9999/12/31,役員室,役員室,ﾔｸｲﾝｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001001001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,011010,本社,4 ,01101025,1900/1/2,9999/12/31,【使用不可】旧　広報室,【不】旧　広報室,ｷｭｳ ｺｳﾎｳｼﾂ,,,,間接部門,,,,03-5433-5513,03-5433-5512/5527,,,既存,,,,,,,,,001001001001003000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,011010,本社,4 ,01101030,1900/1/2,9999/12/31,内部監査室,内部監査室,ﾅｲﾌﾞｶﾝｻｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001001001004000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,01,本社,2 ,0750,2014/8/1,9999/12/31,全社地域連携部,全社地域連携部,ｾﾞﾝｼｬﾁｲｷﾚﾝｹｲﾌﾞ,,,,その他,,,,,,,,既存,,,,,,,,,001001003000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0750,全社地域連携部,3 ,075030,2014/8/1,9999/12/31,【使用不可】全社営業推進室,【不】全社営業推進室,ｾﾞﾝｼｬｴｲｷﾞｮｳｽｲｼﾝｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001003002000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,075030,【不】全社営業推進室,4 ,07503010,2014/8/1,9999/12/31,【使用不可】全社営業推進室,【不】全社営業推進室,ｾﾞﾝｼｬｴｲｷﾞｮｳｽｲｼﾝｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001003002001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0750,全社地域連携部,3 ,075070,2014/8/1,9999/12/31,全社営業推進課1,全社営業推進課1,ｾﾞﾝｼｬｴｲｷﾞｮｳｽｲｼﾝｶｲﾁ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001003004000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,075070,全社営業推進課1,4 ,07507010,2014/8/1,9999/12/31,全社営業推進課1準備室,全社営業推進課1準,ｾﾞﾝｼｬｴｲｷﾞｮｳｽｲｼﾝｶｲﾁｼﾞｭﾝﾋﾞｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001003004001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0750,全社地域連携部,3 ,075090,2014/8/1,9999/12/31,全社営業推進課2,全社営業推進課2,ｾﾞﾝｼｬｴｲｷﾞｮｳｽｲｼﾝｶﾆ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001003005000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,075090,全社営業推進課2,4 ,07509010,2014/8/1,9999/12/31,全社営業推進課2準備室,全社営業推進課2準,ｾﾞﾝｼｬｴｲｷﾞｮｳｽｲｼﾝｶﾆｼﾞｭﾝﾋﾞｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001003005001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,01,本社,2 ,0120,2016/9/1,9999/12/31,本社コスト部門合計,本社コスト部門合計,ﾎﾝｼｬｺｽﾄﾌﾞﾓﾝｺﾞｳｹｲ,,,,その他,,,,,,,,既存,,,,,,,,,001001004000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0120,本社コスト部門合計,3 ,012010,2016/9/1,9999/12/31,本社コスト部門合計,本社コスト部門合計,ﾎﾝｼｬｺｽﾄﾌﾞﾓﾝｺﾞｳｹｲ,,,,その他,,,,,,,,既存,,,,,,,,,001001004001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,012010,本社コスト部門合計,4 ,02101040,2016/9/1,9999/12/31,管理コスト,管理コスト,ｶﾝﾘｺｽﾄ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001004001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,012010,本社コスト部門合計,4 ,02101030,2016/9/1,9999/12/31,財務コスト,財務コスト,ｻﾞｲﾑｺｽﾄ,,,,間接部門,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001001004001002000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,012010,本社コスト部門合計,4 ,07511010,2016/9/1,9999/12/31,全社営業推進課3準備室,全社営業推進課3準,ｾﾞﾝｼｬｴｲｷﾞｮｳｽｲｼﾝｶｻﾝｼﾞｭﾝﾋﾞｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001001004001003000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,2 ,本社／支社,0000000000,全社,1 ,04,1900/1/2,9999/12/31,管理本部,管理本部,ｶﾝﾘﾎﾝﾌﾞ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002000000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,04,管理本部,2 ,0210,1900/1/2,9999/12/31,経理部,経理部,ｹｲﾘﾌﾞ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002001000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0210,経理部,3 ,021010,1900/1/2,9999/12/31,経理部,経理部,ｹｲﾘﾌﾞ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002001001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,021010,経理部,4 ,02101010,1900/1/2,9999/12/31,経理グループ,経理グループ,ｹｲﾘｸﾞﾙｰﾌﾟ,,,,間接部門,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002001001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,021010,経理部,4 ,02101020,1900/1/2,9999/12/31,財務グループ,財務グループ,ｻﾞｲﾑｸﾞﾙｰﾌﾟ,,,,間接部門,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002001001002000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,021010,経理部,4 ,02101025,1900/1/2,9999/12/31,【使用不可】営業経理課,【不】営業経理課,ｴｲｷﾞｮｳｹｲﾘｶ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002001001003000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,04,管理本部,2 ,0310,1900/1/2,9999/12/31,総合サポート部,総合サポート部,ｿｳｺﾞｳｻﾎﾟｰﾄﾌﾞ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002002000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0310,総合サポート部,3 ,031010,1900/1/2,9999/12/31,総合サポート課,総合サポート課,ｿｳｺﾞｳｻﾎﾟｰﾄｶ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002002001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031010,総合サポート課,4 ,03101010,1900/1/2,9999/12/31,ｻﾎﾟｰﾄｸﾞﾙｰﾌﾟ,ｻﾎﾟｰﾄｸﾞﾙｰﾌﾟ,ｻﾎﾟｰﾄｸﾞﾙｰﾌﾟ,,,,間接部門,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002002001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031010,総合サポート課,4 ,03101050,1900/1/2,9999/12/31,ﾁｬﾚﾝｼﾞｸﾞﾙｰﾌﾟ,ﾁｬﾚﾝｼﾞｸﾞﾙｰﾌﾟ,ﾁｬﾚﾝｼﾞｸﾞﾙｰﾌﾟ,,,,間接部門,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002002001003000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031010,総合サポート課,4 ,03101060,2021/7/1,9999/12/31,法務総務グループ,法務総務グループ,ﾎｳﾑｿｳﾑｸﾞﾙｰﾌﾟ,,,,間接部門,,,,,,,,既存,,,,,,,,,001002002001005000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031010,総合サポート課,4 ,03101100,2021/7/1,9999/12/31,営業経理グループ,営業経理グループ,ｴｲｷﾞｮｳｹｲﾘｸﾞﾙｰﾌﾟ,,,,間接部門,,,,,,,,既存,,,,,,,,,001002002001008000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0310,総合サポート部,3 ,031090,2016/7/1,9999/12/31,【使用不可】全店統括課,【不】全店統括課,ｾﾞﾝﾃﾝﾄｳｶﾂｶ,,,,その他,,,,,,,,既存,,,,,,,,,001002002002000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031090,【不】全店統括課,4 ,03109010,2016/7/1,9999/12/31,【使用不可】支社長集合課,【不】支社長集合課,ｼｼｬﾁｮｳｼｭｳｺﾞｳｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001002002002001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031090,【不】全店統括課,4 ,03109020,2016/7/1,9999/12/31,【使用不可】部長集合課,【不】部長集合課,ﾌﾞﾁｮｳｼｭｳｺﾞｳｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001002002002002000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031090,【不】全店統括課,4 ,03109030,2016/7/1,9999/12/31,【使用不可】2店舗店長集合課,【不】2店舗店長集合,ﾆﾃﾝﾎﾟﾃﾝﾁｮｳｼｭｳｺﾞｳｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001002002002003000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,031090,【不】全店統括課,4 ,03109040,2016/7/1,9999/12/31,【使用不可】総合サポート準備室①,【不】総合ｻﾎﾟｰﾄ準①,ｿｳｺﾞｳｻﾎﾟｰﾄｼﾞｭﾝﾋﾞｼﾂ,,,,間接部門,,,,,,,,既存,,,,,,,,,001002002002004000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,04,管理本部,2 ,0460,2015/2/1,9999/12/31,【使用不可】出店管理部,【不】出店管理部,ｼｭｯﾃﾝｶﾝﾘﾌﾞ,,,,間接部門,,,,,,,,既存,,,,,,,,,001002004000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,0460,【不】出店管理部,3 ,203220,2015/2/1,9999/12/31,【使用不可】案件開発課,【不】案件開発課,ｱﾝｹﾝｶｲﾊﾂｶ,,,,その他,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002004001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,203220,【不】案件開発課,4 ,07201050,2015/2/1,9999/12/31,【使用不可】案件開発課,【不】案件開発課,ｱﾝｹﾝｶｲﾊﾂｶ,,,,間接部門,,,,03-5433-5519,03-5433-5527,,,既存,,,,,,,,,001002004001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,2 ,本社／支社,0000000000,全社,1 ,10,2016/1/1,9999/12/31,【使用不可】人材紹介派遣事業部,【不】人材紹介派遣事,ｼﾞﾝｻﾞｲｼｮｳｶｲﾊｹﾝｼﾞｷﾞｮｳﾌﾞ,,,,その他,,,,03-5433-5081,03-5433-5083,,,既存,,,,,,,,,001005000000000000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,2 ,本社／支社,0000000000,全社,1 ,YY,2024/3/1,9999/12/31,【使用不可】Gv廃止組織,【不】Gv廃止組織,ｼﾞｰﾌｧｲﾌﾞﾊｲｼｿｼｷ,,,,その他,,,,,,,,既存,,,,,,,,,001011000000000000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,2 ,本社／支社,0000000000,全社,1 ,05,2014/10/1,9999/12/31,【使用不可】東京南支部,【不】東京南支部,ﾄｳｷｮｳﾐﾅﾐｼﾌﾞ,,,,その他,,,,,,,,既存,,,,,,,,,001012000000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,05,【不】東京南支部,2 ,2001,2014/10/1,9999/12/31,【使用不可】東京営業推進部,【不】東京営業推進部,ﾄｳｷｮｳｴｲｷﾞｮｳｽｲｼﾝﾌﾞ,,,,その他,,,,,,,,既存,,,,,,,,,001012002000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2001,【不】東京営業推進部,3 ,200110,2014/10/1,9999/12/31,【使用不可】東京営業推進課,【不】東京営業推進課,ﾄｳｷｮｳｴｲｷﾞｮｳｽｲｼﾝｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012002001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,200110,【不】東京営業推進課,4 ,20011010,2014/10/1,9999/12/31,【使用不可】東京営業推進課,【不】東京営業推進課,ﾄｳｷｮｳｴｲｷﾞｮｳｽｲｼﾝｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,200110,【不】東京営業推進課,4 ,20011015,2014/10/1,9999/12/31,【使用不可】東京営業管理課,【不】東京営業管理課,ﾄｳｷｮｳｴｲｷﾞｮｳｶﾝﾘｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002001002000000000000000,計上部門
